Name,ApplicationRole,InputParameters,OutputParameters,ResultSets
configuring.usp_INS_workflow_step_transn,configurator,@workflow_actionid:System.Int64;@steptransition_mnem:System.String;@steptransition_name:System.String;@steptransition_descr:System.String;@from_step_id:System.Int64;@to_step_id:System.Int64,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_xref_type,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_UPD_com_obj_attribute,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_com_obj_list_name,configurator,@recordid:System.Int64;@mnemonic:System.String;@listname:System.String;@description:System.String;@commonobjattrid:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_default_date_style,configurator,@datetimestyle:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_date_field_name,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_int_field_name,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_ms_attr_fg_link,configurator,@docmsattrid:System.Int64;@filtergroupid:System.Int64;@newdoc_msattrid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_ms_attr_list,configurator,@recordid:System.Int64;@docmslistid:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_ms_attr_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_ms_attr_text,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_ms_list_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_ms_list_text,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_radiob_attr,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_rb_attr_fg_link,configurator,@docradiobattrid:System.Int64;@filtergroupid:System.Int64;@newdoc_radiobattrid:System.Int64,@message:System.String;@transaction_status:System.String,0
