TABLE,CREATE,READ,UPDATE,DELETE,PROCESS
[file_attr].[file_multi_select_links],editing.usp_INS_file_multi_select_link,"reading.usp_SEL_file_ms_attr_by_file
reading.usp_SEL_file_ms_list_not_linkd
reading.usp_SEL_files_by_ms_list (applies filter group)
reading.usp_SEL_all_files_by_ms_list (no filter group)",editing.usp_UPD_file_multi_select_link,editing.usp_DEL_file_multi_select_link,
[file_attr].[file_multi_select_lists],configuring.usp_INS_file_multi_select_list,reading.usp_SEL_all_file_ms_lists,"configuring.usp_UPD_file_ms_list_text
configuring.usp_UPD_file_ms_list_posn",configuring.usp_DEL_file_ms_list,
[file_attr].[file_radio_button_links],editing.usp_INS_file_radiob_link,"reading.usp_SEL_file_rb_attr_by_file 
reading.usp_SEL_file_rb_list_not_linkd 
reading.usp_SEL_files_by_doc_by_radiob
reading.usp_SEL_all_files_by_radio_btn
reading.usp_SEL_files_by_radio_button",editing.usp_UPD_file_radiob_link ,editing.usp_DEL_file_radiob_link,
[file_attr].[file_radiob_attr_fgroup_links],configuring.usp_INS_file_rb_attr_fg_link,reading.usp_SEL_file_rb_attr_fg_links,configuring.usp_UPD_file_rb_attr_fg_link,configuring.usp_DEL_file_rb_attr_fg_link,
[file_attr].[file_radiob_attribute],configuring.usp_INS_file_radiob_attr,"reading.usp_SEL_all_file_radiob_attr 
reading.usp_SEL_file_radiob_attr_by_list","configuring.usp_UPD_file_rb_attr_text
configuring.usp_UPD_file_rb_attr_posn
configuring.usp_UPD_file_rb_attr_list",configuring.usp_DEL_file_radiob_attr,
[file_attr].[file_radiob_list_names],configuring.usp_INS_file_radiob_list,reading.usp_SEL_all_file_radiob_lists,"configuring.usp_UPD_file_rb_list_text
configuring.usp_UPD_file_rb_list_posn
configuring.usp_UPD_file_rb_restriction",configuring.usp_DEL_file_radiob_list,
[file_attr].[file_real_number_field_names],configuring.usp_INS_file_real_field_name,reading.usp_SEL_all_file_real_fields,configuring.usp_UPD_file_real_field_name,configuring.usp_DEL_file_real_field_name,
[file_attr].[file_real_number_values],editing.usp_INS_file_real_value ,"reading.usp_SEL_all_files_real_any
reading.usp_SEL_file_real_vals_by_file
reading.usp_SEL_files_real_equals (applies filter group)
reading.usp_SEL_files_real_less_than (applies filter group)
reading.usp_SEL_files_real_greater (applies filter group)
reading.usp_SEL_files_real_between (applies filter group)
reading.usp_SEL_all_files_real_equals (doesn't apply filter group)
reading.usp_SEL_all_files_real_greater (doesn't apply filter group)
reading.usp_SEL_all_files_real_less (doesn't apply filter groups)
reading.usp_SEL_all_files_real_between (doesn't apply filter group).",editing.usp_UPD_file_real_value,editing.usp_DEL_file_real_value,
[file_attr].[file_text_field_names],configuring.usp_INS_file_text_field_name,reading.usp_SEL_all_file_text_fields,configuring.usp_UPD_file_text_field_name,configuring.usp_DEL_file_text_field_name,
[forms].[filter_groups],configuring.usp_INS_filter_group,"reading.usp_SEL_all_filter_groups
reading.usp_SEL_filter_group
reading.usp_SEL_all_filter_group_attr","configuring.usp_UPD_filter_group_text
configuring.usp_UPD_filter_group_posn",configuring.usp_DEL_filter_group,
