Stored procedure,Authentication,Input Parameters,Data Type,"OptionalOrMandatory
",Output Parameters,Data Type,Alias,Data Type,Description
[configuring].[usp_DEL_unit_of_measure],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a unit of measure record.
[configuring].[usp_DEL_unit_of_measure],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_wf_step_status_defn],Configurator,@recordid,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a workflow step status definition record.
[configuring].[usp_DEL_wf_step_status_defn],,,,Mandatory,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_workflow_action],Configurator,@recordid,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a workflow action record.
[configuring].[usp_DEL_workflow_action],,,,Mandatory,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_workflow_model],Configurator,@workflow_model_id,bigint,Mandatory,@message,nvarchar(1000),,,"Cascade deletes a workflow model and all associated steps, transitions and rule link.s"
[configuring].[usp_DEL_workflow_model],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_workflow_model_name],Configurator,@recordid,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a workflow model name record.
[configuring].[usp_DEL_workflow_model_name],,,,Mandatory,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_workflow_output_def],Configurator,@recordid,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a workflow output definition record.
[configuring].[usp_DEL_workflow_output_def],,,,Mandatory,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_workflow_rule_link],Configurator,@workflow_rule_id,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a workflow rule to a workflow step link.
[configuring].[usp_DEL_workflow_rule_link],,@step_transitionid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_workflow_rule],Configurator,@recordid,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a workflow rule
[configuring].[usp_DEL_workflow_rule],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_workflow_step_transn],Configurator,@step_transitionid,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a record for a workflow model step transition ID.
[configuring].[usp_DEL_workflow_step_transn],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_xref_type] ,Configurator,@recordid,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a cross-reference type.
[configuring].[usp_DEL_xref_type] ,,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_INS_com_obj_attribute],Configurator,@mnemonic,nvarchar(10),Optional,@message,nvarchar(1000),,,Inserts a common object attribute record.
[configuring].[usp_INS_com_obj_attribute],,@attribute_name,nvarchar(50),Mandatory,@transaction_status,nvarchar(50),,,
[configuring].[usp_INS_com_obj_attribute],,@description,nvarchar(max),Optional,@newrecordid,bigint,,,
[configuring].[usp_INS_com_obj_list_name],Configurator,@mnemonic,nvarchar(10),Optional,@message,nvarchar(1000),,,Creates a common object list record.
[configuring].[usp_INS_com_obj_list_name],,@listname,nvarchar(50),Mandatory,@transaction_status,nvarchar(50),,,
[configuring].[usp_INS_com_obj_list_name],,@description,nvarchar(max),Optional,@newrecordid,bigint,,,
