Name,ApplicationRole,InputParameters,OutputParameters,ResultSets
reading.usp_SEL_files_by_trans_group,reader,@transactiongroup:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_by_user,reader,@sidid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_files_by_user_fgn,reader,@genfield_nameid.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_files_contains,reader,@containsstring:System.String;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int32;@numfiles:System.Int32;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_files_containstable,reader,@containsstring:System.String;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int32;@numfiles:System.Int32;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_files_date_after,reader,@filedatenameid:System.Int64;@datevalue:System.DateTime;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_date_before,reader,@filedatenameid:System.Int64;@datevalue:System.DateTime;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_date_between,reader,@filedatenameid:System.Int64;@earlier_date:System.DateTime;@later_date:System.DateTime;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_date_equals,reader,@filedatenameid:System.Int64;@datevalue:System.DateTime;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_for_one_document,reader,@documentid:System.String;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_freetext,reader,@containsstring:System.String;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int32;@numfiles:System.Int32;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_files_freetexttable,reader,@containsstring:System.String;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int32;@numfiles:System.Int32;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_files_int_between,reader,@fileintnameid:System.Int64;@lower_int_value:System.Int64;@upper_int_value:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_int_equals,reader,@fileintnameid:System.Int64;@integervalue:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_int_greater_than,reader,@fileintnameid:System.Int64;@integervalue:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_int_less_than,reader,@fileintnameid:System.Int64;@integervalue:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_real_between,reader,@filerealnameid:System.Int64;@lower_real_value:System.Single;@upper_real_value:System.Single;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_real_equals,reader,@filerealnameid:System.Int64;@realnumbervalue:System.Single;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_real_greater,reader,@filerealnameid:System.Int64;@realnumbervalue:System.Single;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_real_less_than,reader,@filerealnameid:System.Int64;@realnumbervalue:System.Single;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_filter_group,reader,@filtergroupid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_fl_by_fnct_list_name,reader,@genfield_nameid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_fl_by_ppl_list_name,reader,@genfield_nameid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_fl_cm_obj_ms_lnk_by_fl,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,1
reading.usp_SEL_fl_cm_obj_rb_lnk_by_fl,reader,@fileid:System.Int64,@message:System.String;@transaction_status:System.String,1
