CommandId,Label,Roles,ActionType,Reference,Shortcut,Description,Icon,Actions,Objects,Fields,Weight
rid-upd-frm-file-multi-sel-def-form,Update Form To File Multi-Select Object Default,Configurator,FORM,rid-upd-frm-file-multi-sel-def-form,,Update a form file multi-select default.,,Update;Change;Revise,Files,FileMultiSelectList,
rid-upd-frm-file-user-lnks-form,Update Form File To User Link,Configurator,FORM,rid-upd-frm-file-user-lnks-form,,Update a form to general field name for user ID file link.,,Update;Change;Revise,Files;Users;Forms,GeneralFieldName;Forms,
rid-upd-function-list-form,Update List Position of Duty Function,Controller,FORM,rid-upd-function-list-form,,Update the list position and filter group for a duty function list element.,,Update;Change;Revise,,DutyFunctionField;FilterGroups,
rid-upd-function-list-name-form,Update Duty Function List,Controller,FORM,rid-upd-function-list-name-form,,Update a duty function list name record.,,Update;Change;Revise,,DutyFunctionField,
rid-upd-general-field-name-form,Update General Field Name,Configurator,FORM,rid-upd-general-field-name-form,,Update a general field name record.,,Update;Change;Revise,,GeneralFieldName,
rid-upd-general-field-name-position-form,Update General Field Name List Position,Configurator,FORM,rid-upd-general-field-name-position-form,,Update the list position of a general field name.,,Update;Change;Revise,,GeneralFieldName,
rid-upd-lock-document-id-form,Lock Document ID,Controller,FORM,rid-upd-lock-document-id-form,,Lock a document ID.,,Lock,Documents,Lock Status,
rid-upd-sid-form,Update User,Authorizer;Configurator;Controller,FORM,rid-upd-sid-form,,Update a user ID record.,,Update;Change;Revise,Users,,
rid-upd-tag-browsing-tree-name-form,Update Tag Browsing Tree Details,Controller,FORM,rid-upd-tag-browsing-tree-name-form,,Update a tag browsing tree name.,,Update;Change;Revise,Tag Browsing Trees,TagBrowsingTrees;Tags,
rid-upd-tag-browsing-tree-node-form,Update Browsing Tree Node Position,Controller;Editor;Reader,FORM,rid-upd-tag-browsing-tree-node-form,,Update the position of a browsing tree node.,,Update;Change;Revise,Tag Browsing Trees,TagBrowsingTrees;Tags,
rid-upd-tag-br-tree-tag-form,Replace Tag at Tag Browsing Tree Node,Controller;Editor;Reader,FORM,rid-upd-tag-br-tree-tag-form,,Replace the tag at a given node in a tag browsing tree.,,Replace,Tag Browsing Trees,TagBrowsingTrees;Tags,
rid-upd-tag-br-tr-perm-flist-form,Update Tag Browsing Tree Edit Permissions,Controller,FORM,rid-upd-tag-br-tr-perm-flist-form,,Update a record to authorize function list members to edit a tag browsing tree.,,Update;Change;Revise,Tag Browsing Trees,TagBrowsingTrees;Tags,
rid-upd-tag-br-tr-perm-plist-form,Update Tag Browsing Tree Edit Permission for People List,Controller,FORM,rid-upd-tag-br-tr-perm-plist-form,,Update a record to authorize people list members to edit a tag browsing tree.,,Update;Change;Revise,Tag Browsing Trees,TagBrowsingTrees;PeopleList;Tags,
rid-upd-tag-doc-link-form,Update Tag To Document Link,Editor,FORM,rid-upd-tag-doc-link-form,,Update a document to tag link. Both IDs must be re-sent.,,Update;Change;Revise,Documents,Tags,
rid-upd-tag-group-id-name-form,Update Tag Group Details,Controller,FORM,rid-upd-tag-group-id-name-form,,Update a tag group identifier name record.,,Update;Change;Revise,,TagGroups;Tags,
rid-upd-tag-group-link-form,Update Tag To Tag Group Link,Controller;Editor,FORM,rid-upd-tag-group-link-form,,Update a tag to tag group link.,,Update;Change;Revise,,TagGroups;Tags,
rid-upd-tag-group-perm-flist-form,Update Tag Linking Authorization for Function List,Controller,FORM,rid-upd-tag-group-perm-flist-form,,Update a record to authorize function list members to link tags to a tag group.,,Update;Change;Revise,,TagGroups;Tags,
rid-upd-tag-group-perm-plist-form,Update Tag Linking Authorization for People List,Controller,FORM,rid-upd-tag-group-perm-plist-form,,Update a record to authorize people list members to link tags to a tag group.,,Update;Change;Revise,,PeopleList;TagGroups;Tags,
rid-upd-tag-tree-name-form,Update Tag Relationship Tree Details,Controller,FORM,rid-upd-tag-tree-name-form,,Update a tag relationship tree name.,,Update;Change;Revise,Tag Relationship Trees,TagRelationshipTrees;Tags,
rid-upd-tag-tree-node-form,Update Tag Relationship Tree Node Position,Controller;Editor,FORM,rid-upd-tag-tree-node-form,,Update the position of a tag relationship tree node.,,Update;Change;Revise,Tag Relationship Trees,TagRelationshipTrees;Tags,
rid-upd-tag-tree-perm-flist-form,Update Tag Tree Editing for Function List,Controller,FORM,rid-upd-tag-tree-perm-flist-form,,Update a record to authorize function list members to edit a tag tree.,,Update;Change;Revise,Tag Relationship Trees,TagRelationshipTrees;Tags,
rid-upd-tag-tree-perm-plist-form,Update Tag Relationship Tree Editing for People List,Controller,FORM,rid-upd-tag-tree-perm-plist-form,,Update a record to authorize people list members to edit a tag tree.,,Update;Change;Revise,,PeopleList;TagRelationshipTrees;Tags,
rid-upd-tag-tree-tag-form,Replace Tag at Tag Relationship Tree Node,Controller;Editor,FORM,rid-upd-tag-tree-tag-form,,Replace the tag at a given node in a tag relationship tree.,,Update;Change;Revise,Tag Relationship Trees,TagRelationshipTrees;Tags,
rid-upd-transaction-group-form,Update Transaction Group Note,Controller,FORM,rid-upd-transaction-group-form,,Update a transaction group note.,,Update;Change;Revise,,Transaction Groups,
rid-upd-unit-of-measure-form,Update Unit of Measure,Configurator,FORM,rid-upd-unit-of-measure-form,,Update a unit of measure record.,,Update;Change;Revise,,Unit of Measure,
rid-upd-unlock-document-id-form,Unlock Document ID,Configurator,FORM,rid-upd-unlock-document-id-form,,Unlock a document ID. Only accessible by a configurator.,,Unlock,Documents,Lock Status,
